SITE_NAME,SUB_SITE,DATE_OBS,TIME_OBS,C_ADDED,N_ADDED,PEAT_DEPTH,PEAT_TEMP,DISS_CH4_CONC,DISS_CO2_CONC,POREWATER_PH,SITE_COMMENTS,CRTFCN_CODE,REVISION_DATE
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1043,0,0,200,,182.6,3925.0,6.51,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1043,0,0,50,17.3,46.85,5989.0,6.87,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1043,0,0,100,17.2,26.44,4391.0,6.95,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1146,300,0,0,,4.41,10210.0,6.78,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1146,300,0,400,16.0,68.02,1382.0,5.97,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1146,300,0,500,13.6,216.96,3443.0,6.11,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1146,300,0,300,16.2,226.74,2618.0,6.3,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1146,300,0,50,17.5,6.35,4135.0,6.77,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1146,300,0,200,16.8,36.01,8478.0,6.84,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',26-JUL-1994,1146,300,0,100,16.9,22.15,14544.0,6.85,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-AUG-1994,1016,300,6,0,,114.46,4541.0,6.79,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-AUG-1994,1016,300,6,50,13.0,119.37,4415.0,6.97,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-AUG-1994,1016,300,6,300,14.1,726.9,3991.0,6.4,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-AUG-1994,1016,300,6,200,13.5,296.4,4365.0,6.86,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-AUG-1994,1016,300,6,100,13.0,131.38,4943.0,7.02,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-AUG-1994,1016,300,6,400,13.7,513.14,3462.0,6.1,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-AUG-1994,1016,300,6,500,13.0,483.15,3617.0,6.23,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
